alias,title,id,name,review_count,rating,price,coordinates_latitude,coordinates_longitude,location_address1,categoria_estandarizada,rating_ponderado
lounges,Lounges,dNahrgb_2WkgA4ZhONEHuA,Botanero,32,4.4,,41.907463476993115,-87.6672637090087,1413 N Ashland Ave,Otro,4.374704266135795
cocktailbars,Cocktail Bars,dNahrgb_2WkgA4ZhONEHuA,Botanero,32,4.4,,41.907463476993115,-87.6672637090087,1413 N Ashland Ave,Otro,4.374704266135795
cafes,Cafes,Yc_VAHPXcl_h2CeEr_XfkQ,Bolivar & Lincoln Venezuelan Cafe,289,4.8,,41.943218,-87.65401,3349 N Sheffield Ave,Otro,4.529458389840612
venezuelan,Venezuelan,Yc_VAHPXcl_h2CeEr_XfkQ,Bolivar & Lincoln Venezuelan Cafe,289,4.8,,41.943218,-87.65401,3349 N Sheffield Ave,Otro,4.529458389840612
mediterranean,Mediterranean,dJ5SLaXE_gD8XlRiv6r42g,Cira,601,4.1,$$,41.885893,-87.649087,200 N Green St,Vegetariano/Vegano,4.224016956933917
turkish,Turkish,dJ5SLaXE_gD8XlRiv6r42g,Cira,601,4.1,$$,41.885893,-87.649087,200 N Green St,Carnes,4.224016956933917
breakfast_brunch,Breakfast & Brunch,dJ5SLaXE_gD8XlRiv6r42g,Cira,601,4.1,$$,41.885893,-87.649087,200 N Green St,Carnes,4.224016956933917
italian,Italian,aYZRtERMrFsmTIWXkl9bhw,Acerra Italian Kitchen & Bar,28,4.3,,41.910337,-87.680064,2101 W North Ave,Vegetariano/Vegano,4.369209601485309
bars,Bars,aYZRtERMrFsmTIWXkl9bhw,Acerra Italian Kitchen & Bar,28,4.3,,41.910337,-87.680064,2101 W North Ave,Otro,4.369209601485309
cocktailbars,Cocktail Bars,XWodOV8dW4WlK2XB3j6JnA,Chef’s Special Cocktail Bar,348,4.4,,41.921735,-87.68721,2165 N Western Ave,Otro,4.384130506585192
chinese,Chinese,XWodOV8dW4WlK2XB3j6JnA,Chef’s Special Cocktail Bar,348,4.4,,41.921735,-87.68721,2165 N Western Ave,Otro,4.384130506585192
seafood,Seafood,XWodOV8dW4WlK2XB3j6JnA,Chef’s Special Cocktail Bar,348,4.4,,41.921735,-87.68721,2165 N Western Ave,Mariscos/Pescado,4.384130506585192
steak,Steakhouses,RknsNPtkyrnOZDb3fwCRow,Trino,36,4.7,,41.88484755482354,-87.64722123742104,738 W Randolph St,Carnes,4.3950422940004525
spanish,Spanish,Ld11LQCqA5c6Ic7ezUDlSA,Asador Bastian,159,4.0,$$$$,41.89410401536601,-87.63488701719666,214 W Erie St,Otro,4.283069301341795
bars,Bars,Ld11LQCqA5c6Ic7ezUDlSA,Asador Bastian,159,4.0,$$$$,41.89410401536601,-87.63488701719666,214 W Erie St,Otro,4.283069301341795
steak,Steakhouses,Ld11LQCqA5c6Ic7ezUDlSA,Asador Bastian,159,4.0,$$$$,41.89410401536601,-87.63488701719666,214 W Erie St,Carnes,4.283069301341795
modern_european,Modern European,GvU2TIDK0deL_xbPfIkezA,Chicago Diplomat Cafe,220,4.3,$$,41.9385,-87.66752,3134 N Lincoln Ave,Otro,4.350753707755893
cafes,Cafes,GvU2TIDK0deL_xbPfIkezA,Chicago Diplomat Cafe,220,4.3,$$,41.9385,-87.66752,3134 N Lincoln Ave,Otro,4.350753707755893
georgian,Georgian,GvU2TIDK0deL_xbPfIkezA,Chicago Diplomat Cafe,220,4.3,$$,41.9385,-87.66752,3134 N Lincoln Ave,Otro,4.350753707755893
italian,Italian,zvLywoR212uaPkXU6Tp8LQ,Dimmi Dimmi Corner Italian,82,4.5,,41.918205820988454,-87.65593499304804,1112 W Armitage Ave,Vegetariano/Vegano,4.390966786227221
bars,Bars,zvLywoR212uaPkXU6Tp8LQ,Dimmi Dimmi Corner Italian,82,4.5,,41.918205820988454,-87.65593499304804,1112 W Armitage Ave,Otro,4.390966786227221
pizza,Pizza,zvLywoR212uaPkXU6Tp8LQ,Dimmi Dimmi Corner Italian,82,4.5,,41.918205820988454,-87.65593499304804,1112 W Armitage Ave,Vegetariano/Vegano,4.390966786227221
ramen,Ramen,lgjRFg3M-1N416W41DHsTQ,Ramen Wasabi,2296,4.2,$$,41.9195063,-87.6915015,2101 N Milwaukee Ave,Mariscos/Pescado,4.230952313871331
tapasmallplates,Tapas/Small Plates,lgjRFg3M-1N416W41DHsTQ,Ramen Wasabi,2296,4.2,$$,41.9195063,-87.6915015,2101 N Milwaukee Ave,Carnes,4.230952313871331
izakaya,Izakaya,lgjRFg3M-1N416W41DHsTQ,Ramen Wasabi,2296,4.2,$$,41.9195063,-87.6915015,2101 N Milwaukee Ave,Mariscos/Pescado,4.230952313871331
